,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཤཱ་རིའི་བུ།,དེ་ལྟ་བས་ན་,བྱང་ཆུབ་ སེམས་དཔའ་,རྣམས་,ལ་,ཐོབ་པ་,མེད་པ,འི་,ཕྱིར།,ཤེས་རབ་,ཀྱི་,ཕ་རོལ་,ཏུ་,ཕྱིན་པ་,ལ་,བརྟེན་,ཅིང་,གནས་,ཏེ་,,,,,,,,,,,,,,,,,,,,,
sharipu,tetawéna,changchub sempa,nam,la,thob pa,mepa,'i,chir,sherab,kyi,pharol,tu,chinpa,la,ten,ching,né,té,,,,,,,,,,,,,,,,,,,,,
Shariputra,therefore,bodhisattva,PL,TO,attainment,has not,OF,because,wisdom,OF,other shore,TO,gone,TO,rely,and,dwell,THEN,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སེམས་,ལ་,སྒྲིབ་པ་,མེད་པ,ས་,སྐྲག་པ་,མེད་,དེ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sem,la,drib pa,mepé,,trak pa,mé,té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mind,TO,obscuration,has not,SUBJ,fear,has not,THEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ཕྱིན་ ཅི་ ལོག་,ལས་,ཤིན་ཏུ་,འདས་,ནས་,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chin chi lok,lé,shintu,dé,né,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
error,FROM,very,pass beyond,THEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
མྱ་ངན་ ལས་ འདས་པ,ར་,མཐ,ར་,ཕྱིན་,ཏོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nya-ngen lé depa,r,tha,r,chin,to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
